country;Purchasing Power Value;Purchasing Power Category;Safety Value;Safety Category;Health Care Value;Health Care Category;Climate Value;Climate Category;Cost of Living Value;Cost of Living Category;Property Price to Income Value;Property Price to Income Category;Traffic Commute Time Value;Traffic Commute Time Category;Pollution Value;Pollution Category;Quality of Life Value;Quality of Life Category;Continent;Purchasing Power Value nor;Safety Value nor;Health Care Value nor;Climate Value nor;Cost of Living Value nor;Property Price to Income Value nor;Traffic Commute Time Value nor;Pollution Value nor;Etudiant;Salarie;Independant;Touriste;Chomeur
Dominican Republic;31,82;Very Low;39,4;Low;58,26;Moderate;67,82;High;34,75;Very Low;16,89;Very High;40,69;Moderate;72,8;High;89,09;Very Low;North America;-0,790389573;-0,393212027;-0,024545901;0,334302024;0,717920817;0,927353562;0,222256569;-0,340744321;1,44977302;-0,267970116;1,861088651;0,540523061;1,44977302
Ecuador;45,93;Low;37,57;Low;75,39;High;94,51;Very High;30,28;Very Low;12;High;37,68;Moderate;59,05;Moderate;125,58;Moderate;South America;-0,689344027;-0,440443928;0,39592538;0,888323819;0,792751318;0,949094142;0,28428645;-0,074915418;1,981613363;0,343175193;2,839540312;1,450002242;1,981613363
Egypt;21,15;Very Low;52,64;Moderate;47,32;Moderate;91,98;Very High;19,46;Very Low;17,85;Very High;48,1;High;82,67;Very High;85,41;Very Low;Africa;-0,866800344;-0,051490515;-0,293078056;0,835806954;0,973884657;0,923085473;0,069551777;-0,531561141;1,621953337;-0,16793248;2,270767721;1,296191733;1,621953337
El Salvador;33,72;Very Low;40,58;Moderate;51,67;Moderate;86,6;Very High;38,13;Very Low;16;Very High;40,39;Moderate;75,37;High;93,05;Very Low;North America;-0,776783157;-0,362756485;-0,186303387;0,724130773;0,661337574;0,931310437;0,228438949;-0,390430159;1,272027088;-0,436066505;2,154787574;0,860720652;1,272027088
Equatorial Guinea;30,87;Very Low;52,16;Moderate;42,59;Moderate;82,81;Very High;51,87;Low;7,15;Low;20,5;Very Low;59,85;Moderate;110,92;Low;Africa;-0,797192781;-0,06387921;-0,409180167;0,645459263;0,431321671;0,970656886;0,638330757;-0,090381827;1,567249937;-0,200599731;2,59538675;1,560850654;1,567249937
Eritrea;58,05;Low;72,86;High;55,56;Moderate;78,62;High;53,58;Low;4,41;Very Low;28,95;Very Low;15,52;Very Low;171,01;Very High;Africa;-0,602549413;0,470383275;-0,090819833;0,558484691;0,402695237;0,982838724;0,464193715;0,766650556;2,229291118;0,643902981;3,174862923;2,662407474;2,229291118
Estonia;83,91;Moderate;76,37;High;75,93;High;64,28;High;50,4;Low;11,27;Moderate;21,57;Very Low;17,02;Very Low;185,1;Very High;Europe;-0,417358923;0,56097561;0,409180167;0,260819927;0,455930359;0,952339669;0,616280268;0,737651039;2,994706072;1,625007481;3,023021262;2,631657203;2,994706072
Eswatini;64,57;Moderate;56,45;Moderate;61,11;High;79,17;High;24,22;Very Low;2,82;Very Low;31;Low;32,07;Low;152,35;High;Africa;-0,55585792;0,046844754;0,045409917;0,569901401;0,894199381;0,989907747;0,42194745;0,446689222;2,398309248;0,852543581;3,3226452;2,379582208;2,398309248
Ethiopia;13,59;Very Low;49,1;Moderate;53,46;Moderate;96,82;Very High;43,89;Low;49,87;Very High;63,36;Very High;73,24;High;48,88;Very Low;Africa;-0,920939559;-0,142857143;-0,142366225;0,936274001;0,564911693;0,780726909;-0,244925296;-0,349250846;0,815489938;-0,886176529;1,687736461;0,764152409;0,815489938
Falkland Islands;90,9;High;55,64;Moderate;67,18;High;78,62;High;71,48;Moderate;7,89;Very Low;40;Moderate;3,45;Very Low;193,66;Very High;South America;-0,367301633;0,025938831;0,194403535;0,558484691;0,10303842;0,9673669;0,236476043;1;1,527223728;0,192555196;2,865366054;1,923937985;1,527223728
